title,revenue,release,prod_budget,genre,company
Erin Brockovich,4,3,2,Drama,Jersey Films
How to Lose a Guy in 10 Days,3,2,2,Comedy,Paramount Pictures
22 Jump Street,2,6,2,Crime,Columbia Pictures
Interview with the Vampire,4,11,2,Horror,Geffen Pictures
Yes Man,3,12,2,Comedy,Village Roadshow Pictures
Central Intelligence,3,6,2,Action,New Line Cinema
Stepmom,0,12,0,Drama,Columbia Pictures
Daddy's Home,3,12,2,Comedy,Paramount Pictures
Into the Woods,3,12,2,Fantasy,Walt Disney Pictures
Inside Man,3,3,2,Crime,Imagine Entertainment
Payback,3,2,3,Drama,Paramount Pictures
Congo,3,6,2,Action,Paramount Pictures
We Bought a Zoo,2,12,2,Drama,Twentieth Century Fox Film Corporation
Knowing,2,3,2,Action,Summit Entertainment
Failure to Launch,2,3,2,Comedy,Paramount Pictures
The Ring Two,3,3,2,Drama,DreamWorks
"Crazy, Stupid, Love.",2,7,2,Comedy,Warner Bros.
Garfield,3,6,2,Animation,Twentieth Century Fox Film Corporation
Christmas with the Kranks,0,11,2,Comedy,Columbia Pictures
Moneyball,2,9,2,Drama,Columbia Pictures
Outbreak,4,3,2,Action,Kopelson Entertainment
Non-Stop,3,1,2,Action,StudioCanal
Race to Witch Mountain,2,3,2,Adventure,Walt Disney Pictures
V for Vendetta,2,3,2,Action,Studio Babelsberg
Shanghai Knights,2,2,2,Action,Spyglass Entertainment
Curious George,1,2,2,Adventure,Imagine Entertainment
Herbie Fully Loaded,1,6,2,Comedy,Walt Disney Pictures
Don't Say a Word,2,9,2,Thriller,Village Roadshow Pictures
Hansel & Gretel: Witch Hunters,3,1,2,Fantasy,Paramount Pictures
Unfaithful,2,5,2,Thriller,Regency Enterprises
I Am Number Four,2,2,2,Action,DreamWorks SKG
Syriana,2,11,2,Drama,Section Eight
13 Hours: The Secret Soldiers of Benghazi,1,1,2,Action,Paramount Pictures
The Book of Life,2,10,2,Romance,Twentieth Century Fox Film Corporation
Firewall,2,2,2,Thriller,Village Roadshow Pictures
Absolute Power,1,2,2,Crime,Columbia Pictures
G.I. Jane,1,8,2,Action,Caravan Pictures
The Game,2,9,2,Drama,PolyGram Filmed Entertainment
Silent Hill,2,4,2,Horror,Silent Hill DCP Inc.
The Replacements,0,8,0,Comedy,Warner Bros.
American Reunion,3,4,2,Comedy,Universal Pictures
The Negotiator,1,7,2,Action,Regency Enterprises
Into the Storm,2,8,2,Action,New Line Cinema
Beverly Hills Cop III,2,5,2,Action,Paramount Pictures
Gremlins 2: The New Batch,1,6,2,Comedy,Amblin Entertainment
The Judge,1,10,2,Drama,Village Roadshow Pictures
The Peacemaker,0,9,2,Action,DreamWorks SKG
Resident Evil: Apocalypse,2,9,2,Horror,Impact Pictures
Bridget Jones: The Edge of Reason,1,11,2,Comedy,Miramax Films
Out of Time,1,10,2,Thriller,Original Film
On Deadly Ground,1,2,2,Action,Warner Bros.
The Adventures of Sharkboy and Lavagirl,1,6,2,Adventure,Troublemaker Studios
The Beach,3,2,2,Drama,Figment Films
Raising Helen,1,5,2,Drama,Touchstone Pictures
Ninja Assassin,1,9,1,Action,Studio Babelsberg
For Love of the Game,0,9,2,Drama,Universal Pictures
Striptease,2,6,2,Drama,Columbia Pictures
Marmaduke,1,6,2,Family,Twentieth Century Fox Film Corporation
Hereafter,2,10,2,Drama,Amblin Entertainment
Murder by Numbers,1,4,2,Crime,Castle Rock Entertainment
Assassins,1,10,2,Action,Silver Pictures
Hannibal Rising,1,2,2,Crime,Ingenious Film Partners
The Story of Us,1,10,2,Comedy,Universal Pictures
The Host,1,3,1,Action,Nick Wechsler Productions
Basic,1,4,2,Action,Intermedia Films
Blood Work,1,8,2,Crime,Malpaso Productions
The International,1,2,2,Drama,Studio Babelsberg
Escape from L.A.,1,8,2,Action,Paramount Pictures
The Iron Giant,1,8,3,Adventure,Warner Bros. Animation
The Life Aquatic with Steve Zissou,1,12,2,Adventure,Touchstone Pictures
Free State of Jones,1,6,2,War,Larger Than Life Productions
The Life of David Gale,1,2,2,Drama,Mikona Productions GmbH & Co. KG
Man of the House,0,2,2,Comedy,Revolution Studios
Run All Night,1,3,2,Action,Vertigo Entertainment
Eastern Promises,1,9,2,Thriller,BBC Films
Into the Blue,1,9,2,Action,Columbia Pictures Corporation
The Messenger: The Story of Joan of Arc,1,10,2,Adventure,Columbia Pictures
Your Highness,1,4,2,Comedy,Universal Pictures
Dream House,1,9,2,Drama,Cliffjack Motion Pictures
Mad City,1,11,2,Action,Warner Bros.
Baby's Day Out,1,7,2,Action,Twentieth Century Fox Film Corporation
The Scarlet Letter,1,10,2,Drama,Hollywood Pictures
Fair Game,1,5,1,Drama,River Road Entertainment
Domino,1,9,2,Action,New Line Cinema
Jade,1,10,2,Action,Paramount Pictures
Gamer,1,9,2,Action,Lakeshore Entertainment
Beautiful Creatures,1,2,2,Fantasy,Alcon Entertainment
Death to Smoochy,0,3,2,Comedy,Senator Film Produktion
Zoolander 2,1,2,2,Comedy,Scott Rudin Productions
The Big Bounce,1,1,2,Comedy,Shangri-La Entertainment
What Planet Are You From?,0,3,2,Comedy,Columbia Pictures
Drive Angry,1,2,2,Fantasy,Summit Entertainment
Street Fighter: The Legend of Chun-Li,1,2,2,Action,Twentieth Century Fox Film Corporation
The One,2,11,2,Action,Columbia Pictures
The Adventures of Ford Fairlane,1,7,2,Action,Twentieth Century Fox Film Corporation
The Boat That Rocked,1,4,2,Drama,Universal Pictures
Traffic,3,12,2,Thriller,USA Films
Indiana Jones and the Last Crusade,10,5,2,Adventure,Lucasfilm
Anna Karenina,1,9,0,Drama,Universal Pictures
Chappie,2,3,2,Crime,Columbia Pictures
The Bone Collector,3,11,3,Drama,Universal Pictures
Panic Room,3,3,2,Crime,Hofflund/Polone
Three Kings,2,9,3,Action,Village Roadshow Pictures
Child 44,1,3,2,Crime,Summit Entertainment
Rat Race,2,7,2,Adventure,Paramount Pictures
K-PAX,1,10,2,Drama,Intermedia Films
Kate & Leopold,0,12,0,Comedy,Miramax Films
Bedazzled,2,10,2,Fantasy,Twentieth Century Fox Film Corporation
The Cotton Club,1,12,3,Music,Orion Pictures
3:10 to Yuma,1,9,2,Western,Tree Line Films
Taken 3,4,12,1,Thriller,Twentieth Century Fox Film Corporation
Out of Sight,2,6,2,Romance,Universal Pictures
The Cable Guy,2,6,2,Comedy,Columbia Pictures Corporation
Earth,1,9,0,Drama,Cracking the Earth Films
Dick Tracy,2,6,2,Adventure,Touchstone Pictures
The Thomas Crown Affair,2,8,2,Drama,Irish Dreamtime
Riding in Cars with Boys,1,10,2,Comedy,Columbia Pictures
First Blood,4,10,1,Action,Orion Pictures
Solaris,0,3,0,Drama,Mosfilm
Happily N'Ever After,1,9,2,Animation,Vanguard Films
Mary Reilly,1,2,2,Drama,TriStar Pictures
My Best Friend's Wedding,5,6,2,Comedy,TriStar Pictures
America's Sweethearts,0,7,0,Comedy,Columbia Pictures
Insomnia,2,5,2,Crime,Section Eight
Star Trek: First Contact,3,11,2,Science Fiction,Paramount Pictures
Jonah Hex,1,6,2,Action,Warner Bros.
Courage Under Fire,2,7,2,Drama,Fox 2000 Pictures
Liar Liar,3,3,2,Comedy,Imagine Entertainment
The Infiltrator,1,7,1,Crime,Good Films
Inchon,1,5,3,Drama,Metro-Goldwyn-Mayer (MGM)
The Flintstones,6,5,2,Fantasy,Universal Pictures
Taken 2,5,9,1,Action,Twentieth Century Fox Film Corporation
Scary Movie 3,3,10,2,Comedy,Dimension Films
Miss Congeniality,4,12,2,Comedy,Village Roadshow Pictures
Journey to the Center of the Earth,2,7,2,Action,New Line Cinema
The Princess Diaries 2: Royal Engagement,2,8,2,Comedy,Walt Disney Pictures
The Pelican Brief,4,12,2,Drama,Warner Bros.
The Client,2,7,2,Drama,Regency Enterprises
The Bucket List,3,12,2,Drama,Two Ton Films
Patriot Games,4,6,2,Drama,Paramount Pictures
Monster-in-Law,2,5,2,Romance,New Line Cinema
Prisoners,2,9,1,Drama,Alcon Entertainment
Training Day,2,10,2,Action,Village Roadshow Pictures
Galaxy Quest,2,12,2,Comedy,DreamWorks SKG
Scary Movie 2,2,7,2,Comedy,Gold/Miller Productions
The Muppets,2,11,1,Comedy,Walt Disney Pictures
Blade,2,8,2,Horror,New Line Cinema
Coach Carter,1,1,1,Drama,Paramount Pictures
Changing Lanes,2,4,2,Action,Paramount Pictures
Anaconda,3,4,2,Adventure,Columbia Pictures Corporation
Coyote Ugly,2,7,2,Comedy,Jerry Bruckheimer Films
Love Actually,4,9,2,Comedy,Universal Pictures
A Bug's Life,6,11,4,Adventure,Walt Disney Pictures
From Hell,2,10,1,Horror,Twentieth Century Fox Film Corporation
The Specialist,3,10,2,Action,Jerry Weintraub Productions
Tin Cup,1,8,2,Comedy,Regency Enterprises
"Yours, Mine and Ours",0,4,0,Comedy,Desilu Productions
Kicking & Screaming,1,5,2,Romance,Universal Pictures
The Hitchhiker's Guide to the Galaxy,2,1,2,Adventure,Spyglass Entertainment
Fat Albert,0,12,0,Comedy,Twentieth Century Fox Film Corporation
Resident Evil: Extinction,2,9,2,Horror,Impact Pictures
Blended,2,5,1,Comedy,Happy Madison Productions
Last Holiday,1,1,2,Adventure,Paramount Pictures
The River Wild,0,9,2,Action,Universal Pictures
The Indian in the Cupboard,0,7,2,Adventure,Paramount Pictures
Savages,1,7,1,Crime,Ixtlan
Cellular,1,9,1,Action,New Line Cinema
Johnny English,3,4,2,Adventure,Universal Pictures
The Ant Bully,1,7,2,Fantasy,Playtone
Dune,1,12,2,Action,Dino De Laurentiis Company
Across the Universe,0,9,0,Adventure,Revolution Studios
Revolutionary Road,1,12,1,Drama,DreamWorks SKG
16 Blocks,1,3,2,Action,Donners' Company
Babylon A.D.,1,8,2,Action,StudioCanal
The Glimmer Man,0,10,2,Action,Warner Bros.
Multiplicity,0,7,2,Comedy,Columbia Pictures Corporation
Aliens in the Attic,1,7,2,Adventure,Twentieth Century Fox Film Corporation
The Pledge,1,1,1,Crime,Epsilon Motion Pictures
The Producers,1,12,2,Comedy,Sony Pictures
The Phantom,1,6,2,Adventure,Paramount Pictures
All the Pretty Horses,0,12,2,Drama,Columbia Pictures
Nixon,1,12,2,History,Hollywood Pictures
The Ghost Writer,1,2,2,Thriller,Studio Babelsberg
Deep Rising,1,1,2,Adventure,Hollywood Pictures
Miracle at St. Anna,1,9,2,Drama,Rai Cinema
Curse of the Golden Flower,0,12,1,Action,Beijing New Picture Film Co. Ltd.
Bangkok Dangerous,1,8,2,Action,Virtual Studios
Big Trouble,1,4,2,Action,Touchstone Pictures
Love in the Time of Cholera,1,10,2,Drama,New Line Cinema
Shadow Conspiracy,1,1,2,Action,Hollywood Pictures
Johnny English Reborn,2,9,1,Crime,Universal Pictures
Foodfight!,1,6,2,Animation,Threshold Entertainment
Argo,3,10,1,Drama,GK Films
The Fugitive,7,8,2,Adventure,Warner Bros.
The Bounty Hunter,2,3,1,Action,Columbia Pictures
Sleepers,3,10,2,Crime,Propaganda Films
Rambo: First Blood Part II,7,5,3,Action,TriStar Pictures
The Juror,0,2,2,Drama,Columbia Pictures Corporation
Pinocchio,11,2,1,Animation,RKO Radio Pictures
Heaven's Gate,1,11,3,Action,United Artists
Underworld: Evolution,2,1,2,Fantasy,Lakeshore Entertainment
Victor Frankenstein,1,11,1,Drama,Twentieth Century Fox Film Corporation
Finding Forrester,2,12,2,Drama,Fountainbridge Films
28 Days,0,4,2,Comedy,Columbia Pictures
Unleashed,1,2,2,Action,Canal Plus
The Sweetest Thing,1,4,2,Romance,Konrad Pictures
The Firm,5,6,2,Drama,Paramount Pictures
Charlie St. Cloud,1,5,1,Drama,Universal Pictures
The Mechanic,1,1,1,Action,CBS Films
21 Jump Street,3,3,1,Action,Columbia Pictures
Notting Hill,6,5,2,Romance,Bookshop Productions
Chicken Run,4,6,2,Animation,DreamWorks SKG
Along Came Polly,3,1,2,Comedy,Jersey Films
Boomerang,2,6,2,Comedy,Paramount Pictures
The Heat,2,6,1,Action,Ingenious Film Partners
Cleopatra,6,6,5,Drama,Twentieth Century Fox Film Corporation
Here Comes the Boom,1,10,0,Comedy,Columbia Pictures
High Crimes,1,4,2,Drama,Twentieth Century Fox Film Corporation
The Mirror Has Two Faces,0,11,2,Comedy,TriStar Pictures
The Mothman Prophecies,1,1,1,Drama,Lakeshore Entertainment
Brüno,0,7,1,Comedy,Universal Pictures
Licence to Kill,4,7,2,Adventure,Eon Productions
Red Riding Hood,1,3,1,Fantasy,Appian Way
15 Minutes,1,3,2,Action,New Line Cinema
Super Mario Bros.,1,5,2,Adventure,Hollywood Pictures
Lord of War,1,9,2,Crime,Saturn Films
Hero,3,12,1,Drama,Beijing New Picture Film Co. Ltd.
One for the Money,1,1,1,Action,Lakeshore Entertainment
The Interview,1,12,1,Action,Columbia Pictures
The Warrior's Way,1,12,1,Adventure,Boram Entertainment Inc.
Micmacs,1,10,1,Action,France 2 Cinéma
8 Mile,3,11,2,Drama,Imagine Entertainment
Why I Did (Not) Eat My Father,0,4,0,Adventure,Pathé Films
A Knight's Tale,2,5,2,Adventure,Columbia Pictures Corporation
The Medallion,0,8,2,Thriller,Living Films
The Sixth Sense,10,8,2,Mystery,Spyglass Entertainment
Man on a Ledge,1,1,1,Action,Summit Entertainment
The Big Year,1,10,1,Comedy,Ingenious Media
The Karate Kid,3,6,1,Drama,Columbia Pictures Corporation
American Hustle,3,12,1,Drama,Columbia Pictures
The Proposal,4,6,1,Comedy,Touchstone Pictures
Double Jeopardy,3,9,3,Crime,Paramount Pictures
Back to the Future Part II,7,11,2,Adventure,Universal Pictures
Lucy,2,7,1,Action,Universal Pictures
Fifty Shades of Grey,6,2,1,Drama,Focus Features
Spy Kids 3-D: Game Over,3,7,2,Action,Dimension Films
A Time to Kill,3,7,2,Crime,Regency Enterprises
Cheaper by the Dozen,3,12,2,Comedy,Twentieth Century Fox Film Corporation
Lone Survivor,2,12,1,Action,Universal Pictures
A League of Their Own,2,7,2,Comedy,Columbia Pictures Corporation
The Conjuring 2,4,5,1,Horror,New Line Cinema
The Social Network,3,9,1,Drama,Columbia Pictures
He's Just Not That Into You,3,2,1,Comedy,New Line Cinema
Scary Movie 4,3,4,2,Comedy,Dimension Films
Scream 3,3,2,2,Horror,Konrad Pictures
Back to the Future Part III,5,5,2,Adventure,Universal Pictures
Get Hard,2,3,1,Comedy,Gary Sanchez Productions
Dracula,4,11,2,Romance,American Zoetrope
Julie & Julia,2,8,1,Romance,Columbia Pictures
42,1,4,1,Drama,Warner Bros.
The Talented Mr. Ripley,2,12,2,Thriller,Paramount Pictures
Dumb and Dumber To,2,11,1,Comedy,New Line Cinema
Eight Below,2,2,1,Adventure,Walt Disney Pictures
The Intern,3,9,1,Comedy,Waverly Films
Ride Along 2,2,1,1,Action,Universal Pictures
The Last of the Mohicans,2,9,2,Action,Morgan Creek Productions
Ray,2,10,2,Drama,Universal Pictures
Sin City,2,4,2,Action,Dimension Films
Vantage Point,2,2,1,Drama,Columbia Pictures
"I Love You, Man",2,3,1,Comedy,The Montecito Picture Company
Shallow Hal,2,11,2,Comedy,Twentieth Century Fox Film Corporation
JFK,4,12,2,Drama,Camelot Productions
Big Momma's House 2,2,1,1,Comedy,Twentieth Century Fox Film Corporation
The Mexican,3,3,2,Action,DreamWorks SKG
17 Again,2,3,1,Comedy,New Line Cinema
The Other Woman,3,4,1,Comedy,Twentieth Century Fox Film Corporation
The Final Destination,3,8,1,Horror,New Line Cinema
Bridge of Spies,2,10,1,Thriller,DreamWorks SKG
Behind Enemy Lines,2,11,2,Action,Twentieth Century Fox Film Corporation
Get Him to the Greek,2,6,1,Comedy,Universal Pictures
Shall We Dance?,3,10,2,Drama,Miramax Films
Small Soldiers,1,7,2,Comedy,Universal Pictures
Spawn,2,7,2,Action,New Line Cinema
The Count of Monte Cristo,2,1,1,Action,Spyglass Entertainment
The Lincoln Lawyer,1,3,1,Crime,Lakeshore Entertainment
Unknown,2,2,1,Action,Studio Babelsberg
The Prestige,2,10,1,Drama,Warner Bros.
Horrible Bosses 2,2,11,1,Comedy,New Line Cinema
Escape from Planet Earth,1,2,1,Animation,Rainmaker Entertainment
Apocalypto,2,12,1,Action,Icon Productions
The Living Daylights,5,6,2,Action,United Artists
Predators,2,7,1,Action,Twentieth Century Fox Film Corporation
Legal Eagles,0,6,0,Comedy,Universal Pictures
Secret Window,2,3,2,Thriller,Columbia Pictures Corporation
The Lake House,2,6,1,Romance,Village Roadshow Pictures
The Skeleton Key,2,7,2,Drama,Universal Pictures
The Odd Life of Timothy Green,1,8,0,Fantasy,Walt Disney Pictures
Made of Honor,1,5,1,Comedy,Columbia Pictures
Jersey Boys,1,6,1,Music,Warner Bros.
The Rainmaker,1,11,2,Drama,Paramount Pictures
Gothika,2,11,2,Horror,Columbia Pictures Corporation
Amistad,2,12,2,Drama,DreamWorks SKG
Medicine Man,0,2,2,Adventure,Hollywood Pictures
Aliens vs Predator: Requiem,1,12,1,Fantasy,Twentieth Century Fox Film Corporation
Ri¢hie Ri¢h,0,12,2,Comedy,Davis Entertainment
Autumn in New York,0,8,2,Drama,Lakeshore Entertainment
Music and Lyrics,2,2,1,Comedy,Village Roadshow Pictures
Paul,2,2,1,Adventure,Universal Pictures
The Guilt Trip,1,12,1,Comedy,Paramount Pictures
Scream 4,2,4,1,Horror,Dimension Films
8MM,2,2,2,Thriller,Columbia Pictures Corporation
The Doors,1,3,2,Drama,Imagine Entertainment
Sex Tape,2,7,1,Comedy,Escape Artists
Hanging Up,1,2,2,Comedy,Laurence Mark Productions
Final Destination 5,2,8,2,Horror,New Line Cinema
Mickey Blue Eyes,0,8,0,Comedy,Castle Rock Entertainment
Pay It Forward,1,10,2,Drama,Bel Air Entertainment
Fever Pitch,1,4,1,Comedy,Fox 2000 Pictures
Drillbit Taylor,0,3,1,Comedy,Paramount Pictures
A Million Ways to Die in the West,0,5,0,Comedy,Media Rights Capital
The Shadow,1,7,1,Adventure,Universal Pictures
Extremely Loud & Incredibly Close,1,12,1,Drama,Paramount Pictures
Morning Glory,1,1,1,Comedy,Bad Robot
Get Rich or Die Tryin',1,11,2,Drama,Paramount Pictures
The Art of War,1,8,2,Crime,Amen Ra Films
Rent,1,11,2,Drama,Columbia Pictures
Bless the Child,0,8,2,Drama,Paramount Pictures
The Out-of-Towners,1,4,3,Comedy,Paramount Pictures
The Island of Dr. Moreau,1,8,2,Fantasy,New Line Cinema
The Musketeer,1,9,2,Action,Crystal Sky Worldwide
The Other Boleyn Girl,0,2,1,Drama,Columbia Pictures
Sweet November,1,2,2,Drama,Bel Air Entertainment
The Reaping,1,4,1,Horror,Village Roadshow Pictures
Mean Streets,1,10,1,Drama,Scorsese Productions
Renaissance Man,1,6,2,Comedy,Cinergi Pictures Entertainment
Colombiana,1,7,1,Action,TF1 Films Production
Quest for Camelot,1,5,2,Fantasy,Warner Bros.
City By The Sea,1,9,2,Crime,Warner Bros. Pictures
At First Sight,0,1,0,Drama,Metro-Goldwyn-Mayer (MGM)
Torque,1,1,2,Action,Village Roadshow Pictures
City Hall,0,2,0,Drama,Columbia Pictures
Showgirls,1,9,2,Drama,United Artists
Marie Antoinette,1,5,1,Drama,American Zoetrope
Kiss of Death,0,4,2,Action,Twentieth Century Fox Film Corporation
Get Carter,1,10,2,Action,Franchise Pictures
The Impossible,2,9,1,Thriller,Summit Entertainment
Ishtar,1,5,3,Action,Columbia Pictures
Fantastic Mr. Fox,1,10,1,Adventure,Twentieth Century Fox Film Corporation
Life or Something Like It,1,4,2,Comedy,Regency Enterprises
Memoirs of an Invisible Man,1,2,2,Comedy,Regency Enterprises
Amélie,3,4,1,Comedy,France 3 Cinéma
New York Minute,0,5,0,Comedy,DiNovi Pictures
Alfie,1,10,2,Comedy,Paramount Pictures
Big Miracle,1,2,1,Adventure,Universal Pictures
The Deep End of the Ocean,1,3,2,Drama,Columbia Pictures Corporation
FearDotCom,1,8,2,Horror,Milagro Films
Cirque du Freak: The Vampire's Assistant,1,10,1,Adventure,Universal Pictures
Duplex,1,9,2,Action,Miramax Films
Soul Men,0,11,0,Comedy,Dimension Films
Raise the Titanic,0,1,0,Action,ITC Entertainment
Universal Soldier: The Return,1,8,2,Action,TriStar Pictures
Pandorum,1,9,1,Action,Impact Pictures
Impostor,0,12,2,Action,Dimension Films
Extreme Ops,1,11,2,Action,Paramount Pictures
Just Visiting,0,4,0,Comedy,Gaumont
Sunshine,1,4,2,Science Fiction,DNA Films
A Thousand Words,1,3,1,Drama,Paramount Pictures
Delgo,0,12,1,Adventure,Fathom Studios
The Gunman,1,2,1,Action,StudioCanal
Stormbreaker,1,7,1,Adventure,Isle of Man Film
Disturbia,2,4,1,Thriller,Paramount Pictures
Hackers,1,9,1,Action,United Artists
The Hunting Party,0,9,0,Action,Intermedia Films
The Hudsucker Proxy,0,3,1,Comedy,PolyGram Filmed Entertainment
The Warlords,0,12,1,Action,Applause Pictures
Nomad: The Warrior,0,7,1,Action,Wild Bunch
Snowpiercer,1,8,1,Action,CJ Entertainment
A Monster in Paris,0,10,1,Adventure,Europa Corp
The Last Shot,0,9,0,Action,Touchstone Pictures
The Crow,2,5,1,Fantasy,Miramax Films
Baahubali: The Beginning,2,7,1,Action,Arka Media Works
The Time Traveler's Wife,2,8,1,Drama,New Line Cinema
Because I Said So,1,2,0,Comedy,Universal Pictures
Frankenweenie,1,10,1,Animation,Tim Burton Productions
Serenity,1,8,1,Science Fiction,Universal Pictures
Against the Ropes,1,2,2,Romance,Paramount Pictures
Superman III,2,6,2,Comedy,Warner Bros.
Grudge Match,1,12,1,Comedy,Gerber Pictures
Red Cliff,2,7,2,Adventure,Metropolitan Filmexport
Sweet Home Alabama,3,9,1,Comedy,Touchstone Pictures
The Ugly Truth,3,7,1,Comedy,Lakeshore Entertainment
Sgt. Bilko,0,3,0,Comedy,Imagine Entertainment
Spy Kids 2: The Island of Lost Dreams,2,8,2,Action,Dimension Films
Star Trek: Generations,2,11,2,Science Fiction,Paramount Pictures
The Grandmaster,1,1,1,Action,The Weinstein Company
Water for Elephants,2,3,1,Drama,Ingenious Media
Dragon Nest: Warriors' Dawn,0,5,1,Adventure,Mili Pictures
The Hurricane,2,9,2,Drama,Universal Pictures
Enough,1,5,2,Drama,Winkler Films
Heartbreakers,0,3,1,Crime,Davis Entertainment
Paul Blart: Mall Cop 2,2,4,1,Action,Columbia Pictures
Angel Eyes,1,5,2,Drama,Epsilon Motion Pictures
Joe Somebody,0,12,2,Comedy,Regency Enterprises
The Ninth Gate,1,8,2,Horror,Bac Films
Extreme Measures,1,9,2,Drama,Columbia Pictures
Rock Star,1,9,2,Music,Bel Air Entertainment
Precious,1,11,1,Drama,Smokewood Entertainment Group
White Squall,1,2,2,Action,Hollywood Pictures
The Thing,1,6,1,Horror,Universal Pictures
Riddick,2,9,1,Science Fiction,One Race Productions
Switchback,1,10,2,Action,Paramount Pictures
Texas Rangers,0,11,0,Action,Dimension Films
City of Ember,1,10,2,Adventure,Playtone
The Master,1,9,1,Drama,Ghoulardi Film Company
Virgin Territory,1,12,1,Adventure,Ingenious Film Partners
The Express,1,10,1,Drama,Davis Entertainment
The 5th Wave,2,1,1,Adventure,Columbia Pictures
Creed,2,11,1,Drama,New Line Cinema
The Town,2,9,1,Crime,Legendary Pictures
What to Expect When You're Expecting,1,5,1,Romance,Alcon Entertainment
Burn After Reading,2,9,1,Comedy,Mike Zoss Productions
Nim's Island,2,4,1,Adventure,Walden Media
Rush,1,9,1,Drama,Revolution Films
Magnolia,1,12,2,Drama,New Line Cinema
Cop Out,1,2,1,Action,Warner Bros.
How to Be Single,2,1,1,Comedy,New Line Cinema
Dolphin Tale,2,9,1,Drama,Alcon Entertainment
Twilight,5,11,1,Adventure,Summit Entertainment
John Q,2,2,1,Drama,New Line Cinema
Blue Streak,2,9,2,Action,Columbia Pictures
We're the Millers,3,8,1,Comedy,New Line Cinema
The Inhabited Island,1,12,1,Action,Art Pictures Studio
Breakdown,1,5,2,Drama,Paramount Pictures
Never Say Never Again,4,10,2,Adventure,PSO International
Hot Tub Time Machine,1,3,1,Science Fiction,United Artists
Dolphin Tale 2,1,9,1,Family,Alcon Entertainment
Reindeer Games,1,2,2,Thriller,Dimension Films
A Man Apart,1,4,1,Action,New Line Cinema
Aloha,1,5,1,Drama,Scott Rudin Productions
Ghosts of Mississippi,0,12,0,History,Columbia Pictures
Snow Falling on Cedars,0,12,0,Drama,Universal Pictures
The Rite,2,1,1,Drama,New Line Cinema
Gattaca,1,9,2,Thriller,Columbia Pictures
Isn't She Great,1,1,2,Drama,Universal Pictures
Space Chimps,1,7,1,Animation,Starz Media
Head of State,0,1,0,Comedy,DreamWorks SKG
The Hangover,6,6,1,Comedy,Legendary Pictures
Ip Man 3,2,12,1,Action,Mandarin Films Distribution Co.
Austin Powers: The Spy Who Shagged Me,5,6,1,Adventure,New Line Cinema
Batman,9,6,2,Fantasy,PolyGram Filmed Entertainment
Lethal Weapon 3,6,5,2,Adventure,Silver Pictures
The Blind Side,4,11,1,Drama,Alcon Entertainment
Spy Kids,3,3,1,Action,Dimension Films
Horrible Bosses,2,7,1,Comedy,New Line Cinema
True Grit,3,12,1,Drama,Paramount Pictures
The Devil Wears Prada,4,6,1,Comedy,Twentieth Century Fox Film Corporation
Star Trek: The Motion Picture,5,12,3,Science Fiction,Paramount Pictures
Identity Thief,2,2,1,Comedy,Stuber Productions
Cape Fear,4,11,2,Crime,Universal Pictures
21,1,3,1,Drama,Columbia Pictures
Trainwreck,2,7,1,Comedy,Universal Pictures
Guess Who,1,3,1,Comedy,Columbia Pictures
The English Patient,4,11,1,Drama,Miramax Films
L.A. Confidential,2,9,2,Crime,Regency Enterprises
Sky High,2,7,1,Adventure,Walt Disney Pictures
In & Out,0,9,2,Comedy,Paramount Pictures
Species,2,7,2,Science Fiction,Metro-Goldwyn-Mayer (MGM)
A Nightmare on Elm Street,1,11,1,Horror,New Line Cinema
The Cell,2,8,1,Horror,New Line Cinema
The Man in the Iron Mask,0,3,0,Action,United Artists Corporation
Secretariat,1,8,1,Drama,Walt Disney Pictures
TMNT,2,3,1,Adventure,The Weinstein Company
Radio,1,10,1,Drama,Revolution Studios
Friends with Benefits,2,7,1,Romance,Castle Rock Entertainment
Neighbors 2: Sorority Rising,2,5,1,Comedy,Universal Pictures
Saving Mr. Banks,2,11,1,Comedy,Walt Disney Pictures
Malcolm X,1,11,2,Drama,JVC Entertainment
This Is 40,1,12,1,Comedy,Apatow Productions
Old Dogs,2,11,1,Comedy,Walt Disney Pictures
Underworld: Rise of the Lycans,2,1,1,Fantasy,Lakeshore Entertainment
License to Wed,1,7,1,Comedy,Village Roadshow Pictures
The Benchwarmers,0,4,0,Comedy,Columbia Pictures
Must Love Dogs,1,7,1,Comedy,Team Todd
Donnie Brasco,1,2,2,Crime,TriStar Pictures
Resident Evil,2,3,1,Horror,Impact Pictures
Poltergeist,4,6,1,Horror,SLM Production Group
The Ladykillers,0,3,0,Comedy,Mike Zoss Productions
Max Payne,1,10,1,Action,Dune Entertainment
In Time,2,10,1,Action,Regency Enterprises
The Back-Up Plan,1,4,1,Comedy,Escape Artists
Something Borrowed,1,5,1,Comedy,Alcon Entertainment
Black Knight,0,11,0,Adventure,Twentieth Century Fox Film Corporation
The Bad News Bears,2,4,4,Comedy,Paramount Pictures
Street Fighter,2,12,2,Action,Universal Pictures
The Pianist,2,9,1,Drama,Bac Films
The Nativity Story,0,12,1,Drama,New Line Cinema
House of Wax,1,4,2,Horror,Village Roadshow Pictures
Closer,2,12,1,Drama,Columbia Pictures
J. Edgar,1,11,1,Drama,Imagine Entertainment
Mirrors,1,8,1,Horror,Regency Enterprises
Queen of the Damned,1,2,1,Drama,Village Roadshow Pictures
