company,release,prod_budget,revenue,genre,title
Other,9,0,1,Drama,Earth
Touchstone Pictures,6,1,1,Adventure,Dick Tracy
Other,8,1,1,Drama,The Thomas Crown Affair
Columbia Pictures,10,1,1,Comedy,Riding in Cars with Boys
Other,10,1,2,Action,First Blood
Other,3,0,0,Drama,Solaris
Other,9,1,1,Animation,Happily N'Ever After
TriStar Pictures,2,1,1,Drama,Mary Reilly
TriStar Pictures,6,1,2,Comedy,My Best Friend's Wedding
Columbia Pictures,7,0,0,Comedy,America's Sweethearts
Other,5,1,1,Crime,Insomnia
Paramount Pictures,11,1,1,Science Fiction,Star Trek: First Contact
Warner Bros.,6,1,1,Action,Jonah Hex
Other,7,1,1,Drama,Courage Under Fire
Other,3,1,2,Comedy,Liar Liar
Other,7,1,1,Crime,The Infiltrator
Metro-Goldwyn-Mayer (MGM),5,1,1,Drama,Inchon
Universal Pictures,5,1,3,Fantasy,The Flintstones
Twentieth Century Fox Film Corporation,9,1,2,Action,Taken 2
Other,10,1,2,Comedy,Scary Movie 3
Village Roadshow Pictures,12,1,2,Comedy,Miss Congeniality
New Line Cinema,7,1,1,Action,Journey to the Center of the Earth
Walt Disney Pictures,8,1,1,Comedy,The Princess Diaries 2: Royal Engagement
Warner Bros.,12,1,2,Drama,The Pelican Brief
Regency Enterprises,7,1,1,Drama,The Client
Other,12,1,1,Drama,The Bucket List
Paramount Pictures,6,1,2,Drama,Patriot Games
New Line Cinema,5,1,1,Romance,Monster-in-Law
Other,9,1,1,Drama,Prisoners
Village Roadshow Pictures,10,1,1,Action,Training Day
DreamWorks SKG,12,1,1,Comedy,Galaxy Quest
Other,7,1,1,Comedy,Scary Movie 2
Walt Disney Pictures,11,1,1,Comedy,The Muppets
New Line Cinema,8,1,1,Horror,Blade
Paramount Pictures,1,1,1,Drama,Coach Carter
Paramount Pictures,4,1,1,Action,Changing Lanes
Columbia Pictures,4,1,1,Adventure,Anaconda
Other,7,1,1,Comedy,Coyote Ugly
Universal Pictures,9,1,2,Comedy,Love Actually
Walt Disney Pictures,11,2,3,Adventure,A Bug's Life
Twentieth Century Fox Film Corporation,10,1,1,Horror,From Hell
Other,10,1,2,Action,The Specialist
Regency Enterprises,8,1,1,Comedy,Tin Cup
Other,4,0,0,Comedy,"Yours, Mine and Ours"
Universal Pictures,5,1,1,Romance,Kicking & Screaming
Other,1,1,1,Adventure,The Hitchhiker's Guide to the Galaxy
Twentieth Century Fox Film Corporation,12,0,0,Comedy,Fat Albert
Other,9,1,1,Horror,Resident Evil: Extinction
Other,5,1,1,Comedy,Blended
Paramount Pictures,1,1,1,Adventure,Last Holiday
Universal Pictures,9,1,0,Action,The River Wild
Paramount Pictures,7,1,0,Adventure,The Indian in the Cupboard
Other,7,1,1,Crime,Savages
New Line Cinema,9,1,1,Action,Cellular
Universal Pictures,4,1,1,Adventure,Johnny English
Other,7,1,1,Fantasy,The Ant Bully
Other,12,1,1,Action,Dune
Other,9,0,0,Adventure,Across the Universe
DreamWorks SKG,12,1,1,Drama,Revolutionary Road
Other,3,1,1,Action,16 Blocks
Other,8,1,1,Action,Babylon A.D.
Warner Bros.,10,1,0,Action,The Glimmer Man
Columbia Pictures,7,1,0,Comedy,Multiplicity
Twentieth Century Fox Film Corporation,7,1,1,Adventure,Aliens in the Attic
Other,1,1,1,Crime,The Pledge
Other,12,1,1,Comedy,The Producers
Paramount Pictures,6,1,1,Adventure,The Phantom
Columbia Pictures,12,1,0,Drama,All the Pretty Horses
Other,12,1,1,History,Nixon
Other,2,1,1,Thriller,The Ghost Writer
Other,1,1,1,Adventure,Deep Rising
Other,9,1,1,Drama,Miracle at St. Anna
Other,12,1,0,Action,Curse of the Golden Flower
Other,8,1,1,Action,Bangkok Dangerous
Touchstone Pictures,4,1,1,Action,Big Trouble
New Line Cinema,10,1,1,Drama,Love in the Time of Cholera
Other,1,1,1,Action,Shadow Conspiracy
Universal Pictures,9,1,1,Crime,Johnny English Reborn
Other,6,1,1,Animation,Foodfight!
Other,10,1,1,Drama,Argo
Warner Bros.,8,1,3,Adventure,The Fugitive
Columbia Pictures,3,1,1,Action,The Bounty Hunter
Other,10,1,2,Crime,Sleepers
TriStar Pictures,5,1,3,Action,Rambo: First Blood Part II
Columbia Pictures,2,1,0,Drama,The Juror
Other,2,1,5,Animation,Pinocchio
United Artists,11,2,1,Action,Heaven's Gate
Other,1,1,1,Fantasy,Underworld: Evolution
Twentieth Century Fox Film Corporation,11,1,1,Drama,Victor Frankenstein
Other,12,1,1,Drama,Finding Forrester
Columbia Pictures,4,1,0,Comedy,28 Days
Other,2,1,1,Action,Unleashed
Other,4,1,1,Romance,The Sweetest Thing
Paramount Pictures,6,1,2,Drama,The Firm
Universal Pictures,5,1,1,Drama,Charlie St. Cloud
Other,1,1,1,Action,The Mechanic
Columbia Pictures,3,1,1,Action,21 Jump Street
Other,5,1,3,Romance,Notting Hill
DreamWorks SKG,6,1,2,Animation,Chicken Run
Other,1,1,1,Comedy,Along Came Polly
Paramount Pictures,6,1,1,Comedy,Boomerang
Other,6,1,1,Action,The Heat
Twentieth Century Fox Film Corporation,6,2,3,Drama,Cleopatra
Columbia Pictures,10,0,1,Comedy,Here Comes the Boom
Twentieth Century Fox Film Corporation,4,1,1,Drama,High Crimes
TriStar Pictures,11,1,0,Comedy,The Mirror Has Two Faces
Other,1,1,1,Drama,The Mothman Prophecies
Universal Pictures,7,1,0,Comedy,Brüno
Other,7,1,2,Adventure,Licence to Kill
Other,3,1,1,Fantasy,Red Riding Hood
New Line Cinema,3,1,1,Action,15 Minutes
Other,5,1,1,Adventure,Super Mario Bros.
Other,9,1,1,Crime,Lord of War
Other,12,1,1,Drama,Hero
Other,1,1,1,Action,One for the Money
Columbia Pictures,12,1,1,Action,The Interview
Other,12,1,1,Adventure,The Warrior's Way
Other,10,1,1,Action,Micmacs
Other,11,1,2,Drama,8 Mile
Other,4,0,0,Adventure,Why I Did (Not) Eat My Father
Columbia Pictures,5,1,1,Adventure,A Knight's Tale
Other,8,1,0,Thriller,The Medallion
Other,8,1,4,Mystery,The Sixth Sense
Summit Entertainment,1,1,1,Action,Man on a Ledge
Other,10,1,1,Comedy,The Big Year
Columbia Pictures,6,1,1,Drama,The Karate Kid
Columbia Pictures,12,1,2,Drama,American Hustle
Touchstone Pictures,6,1,2,Comedy,The Proposal
Paramount Pictures,9,1,2,Crime,Double Jeopardy
Universal Pictures,11,1,3,Adventure,Back to the Future Part II
Universal Pictures,7,1,1,Action,Lucy
Other,2,1,3,Drama,Fifty Shades of Grey
Other,7,1,2,Action,Spy Kids 3-D: Game Over
Regency Enterprises,7,1,1,Crime,A Time to Kill
Twentieth Century Fox Film Corporation,12,1,2,Comedy,Cheaper by the Dozen
Universal Pictures,12,1,1,Action,Lone Survivor
Columbia Pictures,7,1,1,Comedy,A League of Their Own
New Line Cinema,5,1,2,Horror,The Conjuring 2
Columbia Pictures,9,1,2,Drama,The Social Network
New Line Cinema,2,1,1,Comedy,He's Just Not That Into You
Other,4,1,1,Comedy,Scary Movie 4
Other,2,1,1,Horror,Scream 3
Universal Pictures,5,1,2,Adventure,Back to the Future Part III
Other,3,1,1,Comedy,Get Hard
Other,11,1,2,Romance,Dracula
Columbia Pictures,8,1,1,Romance,Julie & Julia
Warner Bros.,4,1,1,Drama,42
Paramount Pictures,12,1,1,Thriller,The Talented Mr. Ripley
New Line Cinema,11,1,1,Comedy,Dumb and Dumber To
Walt Disney Pictures,2,1,1,Adventure,Eight Below
Other,9,1,1,Comedy,The Intern
Universal Pictures,1,1,1,Action,Ride Along 2
Other,9,1,1,Action,The Last of the Mohicans
Universal Pictures,10,1,1,Drama,Ray
Other,4,1,1,Action,Sin City
Columbia Pictures,2,1,1,Drama,Vantage Point
Other,3,1,1,Comedy,"I Love You, Man"
Twentieth Century Fox Film Corporation,11,1,1,Comedy,Shallow Hal
Other,12,1,2,Drama,JFK
Twentieth Century Fox Film Corporation,1,1,1,Comedy,Big Momma's House 2
DreamWorks SKG,3,1,1,Action,The Mexican
New Line Cinema,3,1,1,Comedy,17 Again
Twentieth Century Fox Film Corporation,4,1,1,Comedy,The Other Woman
New Line Cinema,8,1,1,Horror,The Final Destination
DreamWorks SKG,10,1,1,Thriller,Bridge of Spies
Twentieth Century Fox Film Corporation,11,1,1,Action,Behind Enemy Lines
Universal Pictures,6,1,1,Comedy,Get Him to the Greek
Miramax Films,10,1,1,Drama,Shall We Dance?
Universal Pictures,7,1,1,Comedy,Small Soldiers
New Line Cinema,7,1,1,Action,Spawn
Other,1,1,1,Action,The Count of Monte Cristo
Other,3,1,1,Crime,The Lincoln Lawyer
Other,2,1,1,Action,Unknown
Warner Bros.,10,1,1,Drama,The Prestige
New Line Cinema,11,1,1,Comedy,Horrible Bosses 2
Other,2,1,1,Animation,Escape from Planet Earth
Other,12,1,1,Action,Apocalypto
United Artists,6,1,2,Action,The Living Daylights
Twentieth Century Fox Film Corporation,7,1,1,Action,Predators
Universal Pictures,6,0,0,Comedy,Legal Eagles
Columbia Pictures,3,1,1,Thriller,Secret Window
Village Roadshow Pictures,6,1,1,Romance,The Lake House
Universal Pictures,7,1,1,Drama,The Skeleton Key
Walt Disney Pictures,8,0,1,Fantasy,The Odd Life of Timothy Green
Columbia Pictures,5,1,1,Comedy,Made of Honor
Warner Bros.,6,1,1,Music,Jersey Boys
Paramount Pictures,11,1,1,Drama,The Rainmaker
Columbia Pictures,11,1,1,Horror,Gothika
DreamWorks SKG,12,1,1,Drama,Amistad
Other,2,1,0,Adventure,Medicine Man
Twentieth Century Fox Film Corporation,12,1,1,Fantasy,Aliens vs Predator: Requiem
Other,12,1,0,Comedy,Ri¢hie Ri¢h
Other,8,1,0,Drama,Autumn in New York
Village Roadshow Pictures,2,1,1,Comedy,Music and Lyrics
Universal Pictures,2,1,1,Adventure,Paul
Paramount Pictures,12,1,1,Comedy,The Guilt Trip
Other,4,1,1,Horror,Scream 4
Columbia Pictures,2,1,1,Thriller,8MM
Other,3,1,1,Drama,The Doors
Other,7,1,1,Comedy,Sex Tape
Other,2,1,1,Comedy,Hanging Up
New Line Cinema,8,1,1,Horror,Final Destination 5
Other,8,0,0,Comedy,Mickey Blue Eyes
Other,10,1,1,Drama,Pay It Forward
Other,4,1,1,Comedy,Fever Pitch
Paramount Pictures,3,1,0,Comedy,Drillbit Taylor
Other,5,0,0,Comedy,A Million Ways to Die in the West
Universal Pictures,7,1,1,Adventure,The Shadow
Paramount Pictures,12,1,1,Drama,Extremely Loud & Incredibly Close
Other,1,1,1,Comedy,Morning Glory
Paramount Pictures,11,1,1,Drama,Get Rich or Die Tryin'
Other,8,1,1,Crime,The Art of War
Columbia Pictures,11,1,1,Drama,Rent
Paramount Pictures,8,1,0,Drama,Bless the Child
Paramount Pictures,4,1,1,Comedy,The Out-of-Towners
New Line Cinema,8,1,1,Fantasy,The Island of Dr. Moreau
Other,9,1,1,Action,The Musketeer
Columbia Pictures,2,1,0,Drama,The Other Boleyn Girl
Other,2,1,1,Drama,Sweet November
Village Roadshow Pictures,4,1,1,Horror,The Reaping
Other,10,1,1,Drama,Mean Streets
Other,6,1,1,Comedy,Renaissance Man
Other,7,1,1,Action,Colombiana
Warner Bros.,5,1,1,Fantasy,Quest for Camelot
Other,9,1,1,Crime,City By The Sea
Metro-Goldwyn-Mayer (MGM),1,0,0,Drama,At First Sight
Village Roadshow Pictures,1,1,1,Action,Torque
Columbia Pictures,2,0,0,Drama,City Hall
United Artists,9,1,1,Drama,Showgirls
Other,5,1,1,Drama,Marie Antoinette
Twentieth Century Fox Film Corporation,4,1,0,Action,Kiss of Death
Other,10,1,1,Action,Get Carter
Summit Entertainment,9,1,1,Thriller,The Impossible
Columbia Pictures,5,1,1,Action,Ishtar
Twentieth Century Fox Film Corporation,10,1,1,Adventure,Fantastic Mr. Fox
Regency Enterprises,4,1,1,Comedy,Life or Something Like It
Regency Enterprises,2,1,1,Comedy,Memoirs of an Invisible Man
Other,4,1,1,Comedy,Amélie
Other,5,0,0,Comedy,New York Minute
Paramount Pictures,10,1,1,Comedy,Alfie
Universal Pictures,2,1,1,Adventure,Big Miracle
Columbia Pictures,3,1,1,Drama,The Deep End of the Ocean
Other,8,1,1,Horror,FearDotCom
Universal Pictures,10,1,1,Adventure,Cirque du Freak: The Vampire's Assistant
Miramax Films,9,1,1,Action,Duplex
Other,11,0,0,Comedy,Soul Men
Other,1,0,0,Action,Raise the Titanic
TriStar Pictures,8,1,1,Action,Universal Soldier: The Return
Other,9,1,1,Action,Pandorum
Other,12,1,0,Action,Impostor
Paramount Pictures,11,1,1,Action,Extreme Ops
Other,4,0,0,Comedy,Just Visiting
Other,4,1,1,Science Fiction,Sunshine
Paramount Pictures,3,1,1,Drama,A Thousand Words
Other,12,1,0,Adventure,Delgo
Other,2,1,1,Action,The Gunman
Other,7,1,1,Adventure,Stormbreaker
Paramount Pictures,4,1,1,Thriller,Disturbia
United Artists,9,1,1,Action,Hackers
Other,9,0,0,Action,The Hunting Party
Other,3,1,0,Comedy,The Hudsucker Proxy
Other,12,1,0,Action,The Warlords
Other,7,1,0,Action,Nomad: The Warrior
Other,8,1,1,Action,Snowpiercer
Other,10,1,0,Adventure,A Monster in Paris
Touchstone Pictures,9,0,0,Action,The Last Shot
Miramax Films,5,1,1,Fantasy,The Crow
Other,7,1,1,Action,Baahubali: The Beginning
New Line Cinema,8,1,1,Drama,The Time Traveler's Wife
Universal Pictures,2,0,1,Comedy,Because I Said So
Other,10,1,1,Animation,Frankenweenie
Universal Pictures,8,1,1,Science Fiction,Serenity
Paramount Pictures,2,1,1,Romance,Against the Ropes
Warner Bros.,6,1,1,Comedy,Superman III
Other,12,1,1,Comedy,Grudge Match
Other,7,1,1,Adventure,Red Cliff
Touchstone Pictures,9,1,1,Comedy,Sweet Home Alabama
Other,7,1,1,Comedy,The Ugly Truth
Other,3,0,0,Comedy,Sgt. Bilko
Other,8,1,1,Action,Spy Kids 2: The Island of Lost Dreams
Paramount Pictures,11,1,1,Science Fiction,Star Trek: Generations
The Weinstein Company,1,1,1,Action,The Grandmaster
Other,3,1,1,Drama,Water for Elephants
Other,5,1,0,Adventure,Dragon Nest: Warriors' Dawn
Universal Pictures,9,1,1,Drama,The Hurricane
Other,5,1,1,Drama,Enough
Other,3,1,0,Crime,Heartbreakers
Columbia Pictures,4,1,1,Action,Paul Blart: Mall Cop 2
Other,5,1,1,Drama,Angel Eyes
Regency Enterprises,12,1,0,Comedy,Joe Somebody
Other,8,1,1,Horror,The Ninth Gate
Columbia Pictures,9,1,1,Drama,Extreme Measures
Other,9,1,1,Music,Rock Star
Other,11,1,1,Drama,Precious
Other,2,1,1,Action,White Squall
Universal Pictures,6,1,1,Horror,The Thing
Other,9,1,1,Science Fiction,Riddick
Paramount Pictures,10,1,1,Action,Switchback
Other,11,0,0,Action,Texas Rangers
Other,10,1,1,Adventure,City of Ember
Other,9,1,1,Drama,The Master
Other,12,1,1,Adventure,Virgin Territory
Other,10,1,1,Drama,The Express
Columbia Pictures,1,1,1,Adventure,The 5th Wave
New Line Cinema,11,1,1,Drama,Creed
Other,9,1,1,Crime,The Town
Other,5,1,1,Romance,What to Expect When You're Expecting
Other,9,1,1,Comedy,Burn After Reading
Other,4,1,1,Adventure,Nim's Island
Other,9,1,1,Drama,Rush
New Line Cinema,12,1,1,Drama,Magnolia
Warner Bros.,2,1,1,Action,Cop Out
New Line Cinema,1,1,1,Comedy,How to Be Single
Other,9,1,1,Drama,Dolphin Tale
Summit Entertainment,11,1,2,Adventure,Twilight
New Line Cinema,2,1,1,Drama,John Q
Columbia Pictures,9,1,1,Action,Blue Streak
New Line Cinema,8,1,2,Comedy,We're the Millers
Other,12,1,1,Action,The Inhabited Island
Paramount Pictures,5,1,1,Drama,Breakdown
Other,10,1,2,Adventure,Never Say Never Again
United Artists,3,1,1,Science Fiction,Hot Tub Time Machine
Other,9,1,1,Family,Dolphin Tale 2
Other,2,1,1,Thriller,Reindeer Games
New Line Cinema,4,1,1,Action,A Man Apart
Other,5,1,1,Drama,Aloha
Columbia Pictures,12,0,0,History,Ghosts of Mississippi
Universal Pictures,12,0,0,Drama,Snow Falling on Cedars
New Line Cinema,1,1,1,Drama,The Rite
Columbia Pictures,9,1,1,Thriller,Gattaca
Universal Pictures,1,1,1,Drama,Isn't She Great
Other,7,1,1,Animation,Space Chimps
DreamWorks SKG,1,0,0,Comedy,Head of State
Other,6,1,3,Comedy,The Hangover
Other,12,1,1,Action,Ip Man 3
New Line Cinema,6,1,2,Adventure,Austin Powers: The Spy Who Shagged Me
Other,6,1,4,Fantasy,Batman
Other,5,1,3,Adventure,Lethal Weapon 3
Other,11,1,2,Drama,The Blind Side
Other,3,1,1,Action,Spy Kids
New Line Cinema,7,1,1,Comedy,Horrible Bosses
Paramount Pictures,12,1,2,Drama,True Grit
Twentieth Century Fox Film Corporation,6,1,2,Comedy,The Devil Wears Prada
Paramount Pictures,12,1,2,Science Fiction,Star Trek: The Motion Picture
Other,2,1,1,Comedy,Identity Thief
Universal Pictures,11,1,2,Crime,Cape Fear
Columbia Pictures,3,1,1,Drama,21
Universal Pictures,7,1,1,Comedy,Trainwreck
Columbia Pictures,3,1,1,Comedy,Guess Who
Miramax Films,11,1,2,Drama,The English Patient
Regency Enterprises,9,1,1,Crime,L.A. Confidential
Walt Disney Pictures,7,1,1,Adventure,Sky High
Paramount Pictures,9,1,0,Comedy,In & Out
Metro-Goldwyn-Mayer (MGM),7,1,1,Science Fiction,Species
New Line Cinema,11,1,1,Horror,A Nightmare on Elm Street
New Line Cinema,8,1,1,Horror,The Cell
Other,3,0,0,Action,The Man in the Iron Mask
Walt Disney Pictures,8,1,1,Drama,Secretariat
The Weinstein Company,3,1,1,Adventure,TMNT
Other,10,1,1,Drama,Radio
Other,7,1,1,Romance,Friends with Benefits
Universal Pictures,5,1,1,Comedy,Neighbors 2: Sorority Rising
Walt Disney Pictures,11,1,1,Comedy,Saving Mr. Banks
Other,11,1,1,Drama,Malcolm X
Other,12,1,1,Comedy,This Is 40
Walt Disney Pictures,11,1,1,Comedy,Old Dogs
Other,1,1,1,Fantasy,Underworld: Rise of the Lycans
Village Roadshow Pictures,7,1,1,Comedy,License to Wed
Columbia Pictures,4,0,0,Comedy,The Benchwarmers
Other,7,1,1,Comedy,Must Love Dogs
TriStar Pictures,2,1,1,Crime,Donnie Brasco
Other,3,1,1,Horror,Resident Evil
Other,6,1,2,Horror,Poltergeist
Other,3,0,0,Comedy,The Ladykillers
Other,10,1,1,Action,Max Payne
Regency Enterprises,10,1,1,Action,In Time
Other,4,1,1,Comedy,The Back-Up Plan
Other,5,1,1,Comedy,Something Borrowed
Twentieth Century Fox Film Corporation,11,0,0,Adventure,Black Knight
Paramount Pictures,4,2,1,Comedy,The Bad News Bears
Universal Pictures,12,1,1,Action,Street Fighter
Other,9,1,1,Drama,The Pianist
New Line Cinema,12,1,0,Drama,The Nativity Story
Village Roadshow Pictures,4,1,1,Horror,House of Wax
Columbia Pictures,12,1,1,Drama,Closer
Other,11,1,1,Drama,J. Edgar
Regency Enterprises,8,1,1,Horror,Mirrors
Village Roadshow Pictures,2,1,1,Drama,Queen of the Damned
Twentieth Century Fox Film Corporation,11,1,1,Science Fiction,Predator 2
Other,1,1,1,Drama,Untraceable
New Line Cinema,2,1,1,Comedy,Blast from the Past
Other,9,1,1,Science Fiction,Flash Gordon
Miramax Films,3,1,1,Comedy,Jersey Girl
Summit Entertainment,10,1,1,Action,Alex Cross
Warner Bros.,11,1,1,Crime,Midnight in the Garden of Good and Evil
Other,11,1,1,Crime,Heist
Universal Pictures,3,1,1,Comedy,Nanny McPhee and the Big Bang
Other,12,1,0,Crime,Hoffa
Twentieth Century Fox Film Corporation,7,1,1,Drama,The X Files: I Want to Believe
Other,4,1,1,Family,Ella Enchanted
Columbia Pictures,11,1,1,Drama,Concussion
Lions Gate Films,9,1,1,Thriller,Abduction
Other,3,1,1,Animation,Valiant
Paramount Pictures,2,1,0,Comedy,Wonder Boys
Other,3,1,1,Action,Superhero Movie
Regency Enterprises,1,1,1,Thriller,Broken City
Other,2,1,1,Horror,Cursed
Other,8,1,1,Crime,Premium Rush
New Line Cinema,5,1,1,Action,Hot Pursuit
Paramount Pictures,9,1,1,War,The Four Feathers
Other,1,1,1,Action,Parker
Universal Pictures,9,1,1,Comedy,Wimbledon
Summit Entertainment,4,1,1,Comedy,Furry Vengeance
Other,9,1,0,Action,Bait
Columbia Pictures,7,1,1,Fantasy,Krull
Other,10,1,1,Action,Lions for Lambs
Paramount Pictures,1,1,0,Action,Flight of the Intruder
Columbia Pictures,12,1,1,Comedy,Walk Hard: The Dewey Cox Story
Miramax Films,12,0,0,Drama,The Shipping News
Other,8,1,1,Action,American Outlaws
Other,3,1,1,Drama,The Young Victoria
Other,9,1,1,Action,Whiteout
Fox Searchlight Pictures,5,1,1,Drama,The Tree of Life
TriStar Pictures,9,1,0,Action,Knock Off
Other,3,1,1,Action,Sabotage
Twentieth Century Fox Film Corporation,9,1,1,Drama,The Order
Lionsgate,12,1,1,Action,Punisher: War Zone
Columbia Pictures,8,1,1,Family,Zoom
TriStar Pictures,9,1,1,Adventure,The Walk
Other,5,0,0,Fantasy,Warriors of Virtue
Other,9,1,1,Comedy,A Good Year
Columbia Pictures,2,1,1,Drama,Radio Flyer
Other,2,1,0,Action,Bound by Honor
Fox Searchlight Pictures,2,1,0,Action,Smilla's Sense of Snow
Other,11,1,1,Thriller,Femme Fatale
Other,4,1,0,Action,Lion of the Desert
Other,9,1,1,War,The Horseman on the Roof
Universal Pictures,11,1,1,Drama,Ride with the Devil
Other,10,0,1,Drama,Biutiful
Other,1,1,1,Action,Bandidas
Other,5,0,0,Drama,Black Water Transit
Other,9,1,2,Action,The Maze Runner
Other,3,1,1,Comedy,Unfinished Business
Columbia Pictures,9,1,1,Drama,The Age of Innocence
Regency Enterprises,9,1,1,Drama,The Fountain
Warner Bros.,9,1,1,Action,Chill Factor
Other,5,1,1,Action,Stolen
Other,7,1,1,Animation,Ponyo
Other,4,1,1,Drama,The Longest Ride
New Line Cinema,8,1,1,Drama,The Astronaut's Wife
Columbia Pictures,5,1,0,Romance,I Dreamed of Africa
Other,11,1,0,Comedy,Playing for Keeps
Other,12,1,1,Drama,Mandela: Long Walk to Freedom
Other,12,1,1,Drama,Reds
Other,12,1,2,Drama,A Few Good Men
Village Roadshow Pictures,3,1,1,Action,Exit Wounds
Twentieth Century Fox Film Corporation,5,1,1,Crime,Big Momma's House
Other,12,1,0,Family,Thunder and the House of Magic
Summit Entertainment,12,1,1,Horror,The Darkest Hour
Summit Entertainment,7,1,1,Music,Step Up Revolution
New Line Cinema,8,1,1,Action,Snakes on a Plane
Universal Pictures,9,1,0,Mystery,The Watcher
Lions Gate Films,4,1,1,Action,The Punisher
Touchstone Pictures,6,1,1,Drama,Goal!: The Dream Begins
Other,4,1,1,Action,Safe
Regency Enterprises,4,1,0,Comedy,Pushing Tin
Other,5,1,5,Adventure,Return of the Jedi
Other,3,1,1,Action,Doomsday
Other,12,1,1,Drama,The Reader
Other,2,1,1,Comedy,Wanderlust
New Line Cinema,10,1,1,Comedy,Elf
Touchstone Pictures,7,1,1,Drama,Phenomenon
Walt Disney Pictures,1,1,0,Adventure,Snow Dogs
Paramount Pictures,11,0,1,Fantasy,Scrooged
Paramount Pictures,6,1,1,Comedy,Nacho Libre
Universal Pictures,4,1,2,Comedy,Bridesmaids
Columbia Pictures,6,1,1,Action,This Is the End
Other,9,1,1,Horror,Stigmata
Other,9,1,1,Drama,Men of Honor
Other,8,1,1,Action,Takers
Other,4,1,1,Comedy,The Big Wedding
Twentieth Century Fox Film Corporation,2,1,1,Crime,"Big Mommas: Like Father, Like Son"
Other,3,1,1,Thriller,Source Code
Paramount Pictures,1,1,1,Action,Alive
New Line Cinema,2,1,1,Thriller,The Number 23
Other,10,1,1,Adventure,The Young and Prodigious T.S. Spivet
Columbia Pictures,12,1,1,Action,1941
DreamWorks SKG,9,0,0,Drama,Dreamer: Inspired By a True Story
New Line Cinema,9,1,1,Drama,A History of Violence
Other,8,1,1,Action,Transporter 2
TriStar Pictures,2,1,1,Action,The Quick and the Dead
New Line Cinema,4,1,1,Action,Laws of Attraction
Paramount Pictures,10,1,0,Drama,Bringing Out the Dead
Universal Pictures,3,1,1,Action,Repo Men
Other,2,1,1,Fantasy,Dragon Wars: D-War
Regency Enterprises,9,1,0,Fantasy,Bogus
New Line Cinema,3,1,1,Comedy,The Incredible Burt Wonderstone
Other,3,1,1,Animation,Cats Don't Dance
Touchstone Pictures,12,0,0,Drama,Cradle Will Rock
Warner Bros.,12,1,1,War,The Good German
Other,3,1,0,Adventure,George and the Dragon
United Artists,8,1,2,Drama,Apocalypse Now
New Line Cinema,9,1,1,Comedy,Going the Distance
Other,12,0,1,Music,Mr. Holland's Opus
Lionsgate,4,1,1,Action,Criminal
Universal Pictures,12,1,2,Drama,Out of Africa
Paramount Pictures,11,1,1,Drama,Flight
United Artists,6,1,3,Action,Moonraker
Fox Searchlight Pictures,2,1,1,Comedy,The Grand Budapest Hotel
Other,9,1,1,Drama,Hearts in Atlantis
Other,8,1,1,Comedy,Arachnophobia
New Line Cinema,4,1,1,Crime,Frequency
New Line Cinema,7,1,1,Comedy,Vacation
Other,10,1,1,Comedy,Get Shorty
Miramax Films,12,1,2,Action,Chicago
Columbia Pictures,6,1,2,Comedy,Big Daddy
Universal Pictures,8,1,2,Comedy,American Pie 2
Other,10,1,3,Animation,Toy Story
Twentieth Century Fox Film Corporation,6,1,3,Action,Speed
Other,2,1,1,Drama,The Vow
Other,1,1,1,Drama,Extraordinary Measures
Walt Disney Pictures,9,1,1,Drama,Remember the Titans
Paramount Pictures,3,1,2,Action,The Hunt for Red October
Other,8,1,1,Drama,The Butler
Twentieth Century Fox Film Corporation,6,1,1,Comedy,DodgeBall: A True Underdog Story
Paramount Pictures,11,1,2,Horror,The Addams Family
Other,11,1,2,Crime,Ace Ventura: When Nature Calls
Walt Disney Pictures,8,1,1,Comedy,The Princess Diaries
Other,9,1,1,Comedy,The First Wives Club
New Line Cinema,9,1,3,Crime,Se7en
Other,8,1,1,Science Fiction,District 9
Paramount Pictures,11,1,1,Animation,The SpongeBob SquarePants Movie
Village Roadshow Pictures,10,1,1,Thriller,Mystic River
Other,12,1,2,Drama,Million Dollar Baby
Other,3,1,2,Comedy,Analyze This
New Line Cinema,6,1,1,Romance,The Notebook
Other,1,1,1,Comedy,27 Dresses
Walt Disney Pictures,4,1,1,Comedy,Hannah Montana: The Movie
Paramount Pictures,9,1,1,Adventure,Rugrats in Paris: The Movie
Columbia Pictures,12,1,1,Drama,The Prince of Tides
Other,12,1,2,Adventure,Legends of the Fall
Paramount Pictures,9,1,1,Drama,Up in the Air
New Line Cinema,12,1,1,Drama,About Schmidt
Summit Entertainment,1,1,1,Horror,Warm Bodies
Other,9,1,1,Action,Looper
Paramount Pictures,2,0,0,Fantasy,Down to Earth
Universal Pictures,7,1,2,Fantasy,Babe
Columbia Pictures,8,1,1,Drama,Hope Springs
Universal Pictures,4,1,1,Comedy,Forgetting Sarah Marshall
Paramount Pictures,8,1,1,Action,Four Brothers
Other,4,1,1,Comedy,Baby Mama
Twentieth Century Fox Film Corporation,5,0,0,Drama,Hope Floats
Other,1,1,1,Comedy,Bride Wars
Paramount Pictures,8,1,1,Action,Without a Paddle
Columbia Pictures,4,1,1,Comedy,13 Going on 30
Other,5,1,1,Fantasy,Midnight in Paris
Other,1,0,0,Animation,The Nut Job
New Line Cinema,4,1,1,Crime,Blow
Other,2,1,1,Romance,Message in a Bottle
Paramount Pictures,6,1,1,Science Fiction,Star Trek V: The Final Frontier
